ESTACION,min,max
1,01/01/18 7:00,29/02/20 22:00
2,01/01/18 15:00,29/02/20 23:00
3,01/01/18 5:00,29/02/20 23:00
4,01/01/18 3:00,29/02/20 21:00
5,01/01/18 2:00,29/02/20 23:00
6,01/01/18 2:00,29/02/20 23:00
7,01/01/18 1:00,29/02/20 23:00
8,01/01/18 2:00,29/02/20 23:00
9,01/01/18 1:00,29/02/20 23:00
10,01/01/18 11:00,29/02/20 23:00
11,01/01/18 1:00,29/02/20 20:00
12,01/01/18 2:00,29/02/20 23:00
13,01/01/18 1:00,29/02/20 23:00
14,01/01/18 1:00,29/02/20 23:00
15,01/01/18 1:00,29/02/20 23:00
16,01/01/18 1:00,29/02/20 23:00
17,01/01/18 1:00,29/02/20 23:00
18,01/01/18 1:00,29/02/20 23:00
19,01/01/18 1:00,29/02/20 23:00
20,01/01/18 2:00,29/02/20 23:00
21,01/01/18 1:00,29/02/20 23:00
25,01/01/18 2:00,29/02/20 23:00
26,01/01/18 1:00,29/02/20 23:00
27,01/01/18 1:00,29/02/20 23:00
28,10/01/18 13:00,29/02/20 19:00
29,10/01/18 12:00,29/02/20 21:00
30,01/01/18 4:00,29/02/20 23:00
31,01/01/18 1:00,29/02/20 23:00
32,01/01/18 15:00,04/03/19 23:00
33,01/01/18 6:00,29/02/20 23:00
34,01/01/18 1:00,29/02/20 23:00
35,01/01/18 12:00,29/02/20 23:00
36,01/01/18 1:00,29/02/20 23:00
37,01/01/18 15:00,29/02/20 23:00
38,01/01/18 12:00,29/02/20 22:00
39,01/01/18 4:00,29/02/20 23:00
40,01/01/18 1:00,29/02/20 23:00
41,01/01/18 1:00,29/02/20 23:00
42,01/01/18 2:00,29/02/20 23:00
43,01/01/18 1:00,29/02/20 23:00
44,01/01/18 1:00,29/02/20 23:00
45,01/01/18 1:00,29/02/20 23:00
46,01/01/18 2:00,29/02/20 23:00
47,01/01/18 1:00,29/02/20 20:00
48,01/01/18 2:00,29/02/20 23:00
49,01/01/18 1:00,29/02/20 23:00
50,01/01/18 1:00,29/02/20 23:00
51,01/01/18 1:00,29/02/20 23:00
52,01/01/18 1:00,29/02/20 23:00
53,01/01/18 1:00,29/02/20 23:00
54,01/01/18 1:00,29/02/20 23:00
55,01/01/18 1:00,29/02/20 23:00
56,01/01/18 3:00,29/02/20 23:00
57,01/01/18 1:00,29/02/20 23:00
58,01/01/18 1:00,29/02/20 23:00
59,01/01/18 3:00,29/02/20 23:00
60,01/01/18 5:00,29/02/20 22:00
61,01/01/18 17:00,29/02/20 23:00
62,01/01/18 2:00,29/02/20 23:00
63,01/01/18 2:00,29/02/20 23:00
64,01/01/18 1:00,29/02/20 23:00
65,01/01/18 1:00,29/02/20 23:00
66,01/01/18 1:00,29/02/20 23:00
67,01/01/18 1:00,29/02/20 23:00
69,01/01/18 3:00,29/02/20 22:00
71,01/01/18 1:00,29/02/20 23:00
72,01/01/18 8:00,29/02/20 23:00
73,01/01/18 4:00,29/02/20 23:00
74,01/01/18 1:00,29/02/20 23:00
75,01/01/18 1:00,29/02/20 23:00
76,01/01/18 1:00,29/02/20 23:00
77,01/01/18 6:00,29/02/20 23:00
78,01/01/18 2:00,29/02/20 19:00
79,01/01/18 1:00,29/02/20 23:00
80,01/01/18 1:00,29/02/20 23:00
81,01/01/18 6:00,29/02/20 22:00
82,01/01/18 1:00,29/02/20 22:00
83,01/01/18 1:00,29/02/20 23:00
84,01/01/18 6:00,29/02/20 22:00
85,01/01/18 1:00,29/02/20 23:00
86,01/01/18 2:00,29/02/20 23:00
87,01/01/18 11:00,29/02/20 23:00
88,01/01/18 5:00,29/02/20 19:00
89,01/01/18 4:00,29/02/20 23:00
90,01/01/18 1:00,29/02/20 23:00
91,01/01/18 1:00,29/02/20 23:00
92,01/01/18 4:00,29/02/20 23:00
93,01/01/18 1:00,29/02/20 23:00
94,01/01/18 1:00,29/02/20 19:00
95,01/01/18 1:00,29/02/20 23:00
96,01/01/18 2:00,29/02/20 23:00
97,01/01/18 5:00,29/02/20 23:00
98,01/01/18 5:00,29/02/20 23:00
99,01/01/18 6:00,29/02/20 23:00
100,01/01/18 7:00,29/02/20 23:00
101,01/01/18 5:00,29/02/20 23:00
102,01/01/18 5:00,29/02/20 23:00
103,01/01/18 3:00,29/02/20 23:00
104,01/01/18 1:00,29/02/20 23:00
105,01/01/18 13:00,29/02/20 23:00
106,01/01/18 3:00,29/02/20 22:00
107,01/01/18 4:00,29/02/20 19:00
108,01/01/18 4:00,29/02/20 22:00
109,01/01/18 5:00,29/02/20 23:00
110,01/01/18 5:00,29/02/20 23:00
111,01/01/18 3:00,29/02/20 23:00
112,01/01/18 4:00,29/02/20 21:00
113,01/01/18 2:00,29/02/20 22:00
114,01/01/18 1:00,29/02/20 23:00
115,01/01/18 5:00,29/02/20 23:00
116,01/01/18 3:00,29/02/20 23:00
117,01/01/18 2:00,29/02/20 23:00
118,01/01/18 1:00,29/02/20 22:00
119,01/01/18 15:00,29/02/20 21:00
120,01/01/18 5:00,29/02/20 21:00
121,01/01/18 2:00,29/02/20 23:00
122,01/01/18 1:00,29/02/20 23:00
123,01/01/18 1:00,29/02/20 23:00
