ANIO;MES;DIA;FESTIVO
2017;1;1;1
2017;1;2;0
2017;1;3;0
2017;1;4;0
2017;1;5;0
2017;1;6;1
2017;1;7;0
2017;1;8;0
2017;1;9;0
2017;1;10;0
2017;1;11;0
2017;1;12;0
2017;1;13;0
2017;1;14;0
2017;1;15;0
2017;1;16;0
2017;1;17;0
2017;1;18;0
2017;1;19;0
2017;1;20;0
2017;1;21;0
2017;1;22;0
2017;1;23;0
2017;1;24;0
2017;1;25;0
2017;1;26;0
2017;1;27;0
2017;1;28;0
2017;1;29;0
2017;1;30;0
2017;1;31;0
2017;2;1;0
2017;2;2;0
2017;2;3;0
2017;2;4;0
2017;2;5;0
2017;2;6;0
2017;2;7;0
2017;2;8;0
2017;2;9;0
2017;2;10;0
2017;2;11;0
2017;2;12;0
2017;2;13;0
2017;2;14;0
2017;2;15;0
2017;2;16;0
2017;2;17;0
2017;2;18;0
2017;2;19;0
2017;2;20;0
2017;2;21;0
2017;2;22;0
2017;2;23;0
2017;2;24;0
2017;2;25;0
2017;2;26;0
2017;2;27;0
2017;2;28;0
2017;3;1;0
2017;3;2;0
2017;3;3;0
2017;3;4;0
2017;3;5;0
2017;3;6;0
2017;3;7;0
2017;3;8;0
2017;3;9;0
2017;3;10;0
2017;3;11;0
2017;3;12;0
2017;3;13;0
2017;3;14;0
2017;3;15;0
2017;3;16;0
2017;3;17;0
2017;3;18;0
2017;3;19;0
2017;3;20;1
2017;3;21;0
2017;3;22;0
2017;3;23;0
2017;3;24;0
2017;3;25;0
2017;3;26;0
2017;3;27;0
2017;3;28;0
2017;3;29;0
2017;3;30;0
2017;3;31;0
2017;4;1;0
2017;4;2;0
2017;4;3;0
2017;4;4;0
2017;4;5;0
2017;4;6;0
2017;4;7;0
2017;4;8;0
2017;4;9;0
2017;4;10;0
2017;4;11;0
2017;4;12;0
2017;4;13;1
2017;4;14;1
2017;4;15;0
2017;4;16;0
2017;4;17;0
2017;4;18;0
2017;4;19;0
2017;4;20;0
2017;4;21;0
2017;4;22;0
2017;4;23;0
2017;4;24;0
2017;4;25;0
2017;4;26;0
2017;4;27;0
2017;4;28;0
2017;4;29;0
2017;4;30;0
2017;5;1;1
2017;5;2;1
2017;5;3;0
2017;5;4;0
2017;5;5;0
2017;5;6;0
2017;5;7;0
2017;5;8;0
2017;5;9;0
2017;5;10;0
2017;5;11;0
2017;5;12;0
2017;5;13;0
2017;5;14;0
2017;5;15;1
2017;5;16;0
2017;5;17;0
2017;5;18;0
2017;5;19;0
2017;5;20;0
2017;5;21;0
2017;5;22;0
2017;5;23;0
2017;5;24;0
2017;5;25;0
2017;5;26;0
2017;5;27;0
2017;5;28;0
2017;5;29;0
2017;5;30;0
2017;5;31;0
2017;6;1;0
2017;6;2;0
2017;6;3;0
2017;6;4;0
2017;6;5;0
2017;6;6;0
2017;6;7;0
2017;6;8;0
2017;6;9;0
2017;6;10;0
2017;6;11;0
2017;6;12;0
2017;6;13;0
2017;6;14;0
2017;6;15;0
2017;6;16;0
2017;6;17;0
2017;6;18;0
2017;6;19;0
2017;6;20;0
2017;6;21;0
2017;6;22;0
2017;6;23;0
2017;6;24;0
2017;6;25;0
2017;6;26;0
2017;6;27;0
2017;6;28;0
2017;6;29;0
2017;6;30;0
2017;7;1;0
2017;7;2;0
2017;7;3;0
2017;7;4;0
2017;7;5;0
2017;7;6;0
2017;7;7;0
2017;7;8;0
2017;7;9;0
2017;7;10;0
2017;7;11;0
2017;7;12;0
2017;7;13;0
2017;7;14;0
2017;7;15;0
2017;7;16;0
2017;7;17;0
2017;7;18;0
2017;7;19;0
2017;7;20;0
2017;7;21;0
2017;7;22;0
2017;7;23;0
2017;7;24;0
2017;7;25;0
2017;7;26;0
2017;7;27;0
2017;7;28;0
2017;7;29;0
2017;7;30;0
2017;7;31;0
2017;8;1;0
2017;8;2;0
2017;8;3;0
2017;8;4;0
2017;8;5;0
2017;8;6;0
2017;8;7;0
2017;8;8;0
2017;8;9;0
2017;8;10;0
2017;8;11;0
2017;8;12;0
2017;8;13;0
2017;8;14;0
2017;8;15;1
2017;8;16;0
2017;8;17;0
2017;8;18;0
2017;8;19;0
2017;8;20;0
2017;8;21;0
2017;8;22;0
2017;8;23;0
2017;8;24;0
2017;8;25;0
2017;8;26;0
2017;8;27;0
2017;8;28;0
2017;8;29;0
2017;8;30;0
2017;8;31;0
2017;9;1;0
2017;9;2;0
2017;9;3;0
2017;9;4;0
2017;9;5;0
2017;9;6;0
2017;9;7;0
2017;9;8;0
2017;9;9;0
2017;9;10;0
2017;9;11;0
2017;9;12;0
2017;9;13;0
2017;9;14;0
2017;9;15;0
2017;9;16;0
2017;9;17;0
2017;9;18;0
2017;9;19;0
2017;9;20;0
2017;9;21;0
2017;9;22;0
2017;9;23;0
2017;9;24;0
2017;9;25;0
2017;9;26;0
2017;9;27;0
2017;9;28;0
2017;9;29;0
2017;9;30;0
