Distrito;Distrito_Nombre;Barrio;Barrio_Nombre;Tasa_Paro;Renta_Media_Persona;Renta_Media_Hogar;Poblacion
01;Centro;01-01;Palacio;5,675629192;19443,00705;38973,53727;23708
01;Centro;01-02;Embajadores;5,555404042;14310,93595;29471,72198;47151
01;Centro;01-03;Cortes;4,087029691;20947,0742;40962,5241;10760
01;Centro;01-04;Justicia;4,374558304;23759,66607;48202,79271;18072
01;Centro;01-05;Universidad;4,283483014;17882,22351;35344,22565;33434
01;Centro;01-06;Sol;4,309681391;17550,00279;35056,88536;7665
02;Arganzuela;02-01;Imperial;4,942606347;19840,6766;46879,39677;22982
02;Arganzuela;02-02;Acacias;4,560135997;20064,80879;47683,22257;37049
02;Arganzuela;02-03;Chopera;5,446590223;15019,25049;35015,45936;20356
02;Arganzuela;02-04;Legazpi;3,421945701;20365,55702;52569,14075;19820
02;Arganzuela;02-05;Delicias;4,020151134;17878,77055;43018,07673;28379
02;Arganzuela;02-06;Palos de Moguer;4,726752504;16980,39164;37389,09863;26344
02;Arganzuela;02-07;Atocha;4,471858134;15310;42657;1297
03;Retiro;03-01;Pacifico;4,228419906;19527,32758;44831,75729;33879
03;Retiro;03-02;Adelfas;4,594306342;20493,50903;49538,41004;18886
03;Retiro;03-03;Estrella;3,593663803;23696,69349;63495,10119;23504
03;Retiro;03-04;Ibiza;3,765536515;21400,18922;50079,64756;22050
03;Retiro;03-05;Los Jeronimos;3,143643873;27288,56026;72996,64862;7044
03;Retiro;03-06;Nino Jesus;3,100167879;26376,92283;70945,16599;15493
04;Salamanca;04-01;Recoletos;1,963672067;30933,02233;81691,87584;15853
04;Salamanca;04-02;Goya;3,198151951;24044,83181;54456,35478;30050
04;Salamanca;04-03;Fuente del Berro;4,396494587;19450,51977;44221,14512;21303
04;Salamanca;04-04;Guindalera;3,819712511;21251,03416;50063,95065;42445
04;Salamanca;04-05;Lista;3,250073035;23728,93596;54487,6824;21283
04;Salamanca;04-06;Castellana;2,169642857;30741,05434;81379,7694;17330
05;Chamartin;05-01;El Viso;2,196709456;29874,34699;80370,38179;17486
05;Chamartin;05-02;Prosperidad;4,387920108;20239,33156;46804,54236;37041
05;Chamartin;05-03;Ciudad Jardin;4,67806841;20937,84878;48943,79836;18970
05;Chamartin;05-04;Hispanoamerica;3,405684755;27033,06823;69389,19168;32201
05;Chamartin;05-05;Nueva Espana;2,704118379;29308,26982;78097,74713;25105
05;Chamartin;05-06;Castilla;3,561266636;24157,53124;61310,17909;17316
06;Tetuan;06-01;Bellas Vistas;4,993226243;13608,81164;33573,8434;29993
06;Tetuan;06-02;Cuatro Caminos;3,941354032;19995,56514;46339,28875;35395
06;Tetuan;06-03;Castillejos;4,408744131;21944,65091;48631,36297;20870
06;Tetuan;06-07;Almenara;7,703397267;13130,0412;31609,34592;23134
06;Tetuan;06-05;Valdeacederas;5,899886936;12254,49279;30163,55029;26607
06;Tetuan;06-06;Berruguete;5,343970275;12831,29534;31387,40626;25943
07;Chamberi;07-01;Gaztambide;3,68896682;21237,3123;46630,31392;23446
07;Chamberi;07-02;Arapiles;3,985756232;21397,21963;46882,35448;24770
07;Chamberi;07-03;Trafalgar;3,770462739;21756,27291;46189,81341;25117
07;Chamberi;07-04;Almagro;2,958768642;26957,00651;68836,5746;19900
07;Chamberi;07-05;Rios Rosas;3,280891327;23755,96593;53843,75673;27671
07;Chamberi;07-06;Vallehermoso;3,470394737;25207,79635;61470,13623;20480
08;Fuencarral - El Pardo;08-01;El Pardo;5,068493151;16111,94791;38883,05748;3496
08;Fuencarral - El Pardo;08-08;Fuentelarreina;2,013778484;31239,368;90678,01075;3331
08;Fuencarral - El Pardo;08-07;Penagrande;4,834280125;18776,9737;48909,23371;45083
08;Fuencarral - El Pardo;08-06;Pilar;5,474307587;14939,78399;35593,88993;47024
08;Fuencarral - El Pardo;08-05;La Paz;3,93225504;22975,78492;61899,27477;33713
08;Fuencarral - El Pardo;08-04;Valverde;4,679404525;16636,61983;46290,11508;64937
08;Fuencarral - El Pardo;08-03;Mirasierra;3,025277877;24684,30817;72361,00397;34166
08;Fuencarral - El Pardo;08-02;El Goloso;2,863621095;21825,78537;67420,15502;19121
09;Moncloa - Aravaca;09-01;Casa de Campo;5,176980496;19883,26875;44963,6366;13239
09;Moncloa - Aravaca;09-02;Argüelles;3,232475099;23728,79261;55125,0693;24556
09;Moncloa - Aravaca;09-03;Ciudad Universitaria;3,334334635;25704,89888;65329,88289;16394
09;Moncloa - Aravaca;09-04;Valdezarza;5,215779719;15289,23488;37335,06228;30590
09;Moncloa - Aravaca;09-05;Valdemarin;2,044405364;31715,0448;90897,21495;6963
09;Moncloa - Aravaca;09-06;El Plantio;2,5;32242;91933;2830
09;Moncloa - Aravaca;09-07;Aravaca;2,638260294;25813,9896;72999,41648;27602
10;Latina;10-01;Los Carmenes;8,36523126;11935,23627;31467,29007;17795
10;Latina;10-02;Puerta del Angel;6,386239782;12348,94336;29648,28635;42512
10;Latina;10-03;Lucero;6,592367166;12515,79844;31918,16188;36984
10;Latina;10-04;Aluche;5,872980307;13084,65608;32610,56964;67746
10;Latina;10-05;Campamento;5,392041441;12930,5514;33453,68149;19956
10;Latina;10-06;Cuatro Vientos;6,043198529;14909,20693;37420,82287;5909
10;Latina;10-07;Aguilas;6,10183533;12778,15972;31643,57601;52182
11;Carabanchel;11-01;Comillas;6,61245884;12481,94925;29443,7468;23040
11;Carabanchel;11-02;Opanel;6,039205615;11869,52759;30002,22765;33857
11;Carabanchel;11-03;San Isidro;8,009286129;10927,81955;28092,37402;40247
